TeamId,TeamName,eFG_Pct,RankeFG_Pct,TO_Pct,RankTO_Pct,OR_Pct,RankOR_Pct,FT_Rate,RankFT_Rate
528,Boston University,48.3302,194,18.4158,24,33.1519,191,32.7767,267
820,Texas San Antonio,48.2979,195,23.5223,274,34.3779,137,42.0669,55
679,Monmouth,48.2797,196,19.4948,62,27.3515,310,38.4573,133
844,Wisconsin Green Bay,48.2587,197,20.5695,115,29.3333,297,38.9481,115
512,Arizona St.,48.2426,198,20.8805,133,35.0135,112,49.0696,5
718,Oakland,48.2353,199,18.3418,21,32.4463,219,37.7647,153
750,Sacred Heart,48.227,200,21.8274,190,34.3444,141,31.1466,286
739,Quinnipiac,48.2132,201,19.7123,79,30.4576,280,30.103,296
600,Georgia Southern,48.2068,202,20.6564,118,34.7354,121,37.896,147
615,Hofstra,48.205,203,22.5072,227,39.9721,10,34.5686,230
604,Georgia,48.1777,204,22.731,239,37.7081,39,44.2455,24
570,Delaware,48.1734,205,22.8955,246,33.5623,170,38.6378,121
662,Maryland,48.1692,206,20.1465,95,38.2532,28,41.5636,59
561,Cornell,48.1321,207,20.8315,131,34.7624,119,38.559,124
712,Northeastern,48.1308,208,19.5986,70,32.9231,199,40.6542,74
664,McNeese St.,48.099,209,24.0882,294,36.1127,77,41.1047,64
661,Marshall,48.0955,210,23.4109,264,36.9262,57,43.3828,39
564,Cal St. Fullerton,48.0916,211,22.6588,236,39.415,14,36.0687,190
579,Eastern Illinois,48.091,212,23.1139,252,33.374,181,31.0573,287
648,Long Island,48.0732,213,24.2489,297,32.2335,231,39.6473,98
767,Southwest Missouri St.,48.0248,214,22.4504,226,36.5093,68,49.7641,2
555,Colgate,48.0108,215,20.1005,93,32.1753,237,34.7943,224
791,Tennessee St.,48.0076,216,16.8881,6,29.5156,294,25.4902,324
828,Vermont,47.9917,217,18.6978,40,32.1844,236,31.9551,276
553,Coastal Carolina,47.9514,218,23.1353,254,37.4093,44,32.1528,274
773,Southern,47.9304,219,22.685,237,36.3636,72,36.5966,180
758,Santa Clara,47.8472,220,20.5243,111,33.9056,158,33.96,244
645,Liberty,47.8371,221,22.8269,244,36.2377,75,33.2584,259
744,Rider,47.8313,222,18.6421,36,31.9869,241,31.6102,280
539,California,47.8303,223,20.9293,139,35.5178,96,40.8679,70
508,Alcorn St.,47.8289,224,27.2378,323,33.8429,159,38.9474,116
585,Elon,47.7812,225,24.2538,298,36.2927,74,28.3283,310
583,East Carolina,47.7724,226,21.3771,165,37.0708,49,43.2488,41
608,Grambling,47.7521,227,22.2715,216,29.541,293,34.2325,236
848,Winthrop,47.7387,228,21.2986,162,35.6087,89,37.5449,158
506,Alabama St.,47.6989,229,25.9724,318,36.4095,69,45.4306,16
673,Minnesota,47.6691,230,20.0024,91,35.4015,98,33.826,247
601,Gardner Webb,47.6641,231,23.5053,271,33.2661,186,23.9268,326
654,Loyola Chicago,47.619,232,21.7811,187,32.6512,208,37.2722,167
551,Clemson,47.6064,233,26.8076,322,39.8382,12,42.8856,47
754,San Diego St.,47.5256,234,18.7576,41,34.7741,118,28.0024,313
756,San Jose St.,47.4823,235,19.8524,85,28.3832,305,29.7163,302
855,Youngstown St.,47.4314,236,23.6904,280,34.4639,134,43.9831,29
630,IUPU Fort Wayne,47.3754,237,21.5773,178,32.0979,239,34.4306,234
644,Lehigh,47.3601,238,21.696,182,33.1355,192,36.5776,181
702,New Mexico St.,47.3333,239,22.2862,217,35.0755,109,35.7778,199
771,South Florida,47.3169,240,23.2088,259,31.219,259,38.7237,117
652,Loyola Marymount,47.3118,241,21.2834,161,32.7225,205,30.234,294
738,Purdue,47.2915,242,20.296,99,35.0073,113,37.8576,148
755,San Francisco,47.2466,243,23.2584,261,35.1861,105,34.0425,241
626,Indiana St.,47.238,244,21.4286,167,29.0133,300,31.7281,279
788,Texas Christian,47.2379,245,21.5008,171,31.8182,244,40.4896,80
548,Chicago St.,47.2256,246,20.6699,120,34.3508,139,38.7214,118
560,Coppin St.,47.1733,247,22.7467,242,33.9352,156,39.0882,111
515,Arkansas,47.1455,248,19.8152,84,35.1012,108,35.4205,211
589,Fairfield,47.1206,249,20.168,96,35.5238,95,37.1926,168
700,New Hampshire,47.1024,250,24.6806,305,32.6402,209,33.9987,243
521,Baylor,47.0713,251,23.5147,273,36.1644,76,35.3564,214
686,Mount St. Mary's,46.9822,252,20.2104,98,32.3625,224,31.7752,278
596,Fordham,46.9658,253,23.5524,275,29.6368,291,31.3105,283
746,Rutgers,46.9345,254,20.7063,122,34.3106,147,37.4405,162
513,Arkansas Little Rock,46.9171,255,22.0757,207,38.2501,29,48.8306,6
669,Miami OH,46.8925,256,19.6594,76,34.0812,150,41.0615,65
719,Ohio,46.877,257,22.1952,210,34.2282,149,43.223,43
611,Hartford,46.8359,258,23.3944,263,34.7222,123,31.9051,277
741,Rhode Island,46.8299,259,21.1489,151,42.875,1,34.6392,227
816,NC Wilmington,46.7487,260,20.7343,125,30.7839,273,33.9015,246
545,Charleston Southern,46.7189,261,23.964,290,30.9038,268,28.4116,309
721,Oklahoma,46.7124,262,19.6601,77,34.9061,115,36.1349,189
650,Louisiana Tech,46.6625,263,23.1817,256,38.9134,18,37.1536,170
