TeamId,TeamName,eFG_Pct,RankeFG_Pct,TO_Pct,RankTO_Pct,OR_Pct,RankOR_Pct,FT_Rate,RankFT_Rate
633,Jacksonville,53.6472,297,23.2692,52,33.4826,167,39.9204,237
634,Jacksonville St.,49.5865,145,19.1245,272,36.4053,298,40.0763,240
635,James Madison,58.1782,335,20.5146,196,34.0413,194,42.3537,269
636,Kansas,43.4691,3,23.6634,42,30.2708,46,33.9888,111
637,Kansas St.,46.7213,46,22.1156,109,33.4714,166,37.8636,196
638,Kennesaw St.,51.6288,237,24.9286,15,39.3717,327,38.6601,212
639,Kent St.,48.1191,91,24.495,23,30.7539,58,36.0502,156
640,Kentucky,47.4252,67,18.4467,306,32.1681,101,27.8568,15
641,La Salle,51.993,250,18.3753,308,33.5671,173,36.2837,162
642,Lafayette,54.937,321,22.6908,76,37.9908,317,39.4301,232
643,Lamar,49.1214,124,18.5149,303,34.6948,231,33.8658,106
644,Lehigh,50,164,20.4028,204,32.5105,121,44.3989,296
645,Liberty,50.5768,194,18.3239,311,31.7607,84,42.5015,271
646,Lipscomb,48.8255,114,20.703,190,31.935,94,40.4027,247
647,Long Beach St.,51.2372,218,21.8595,128,34.5185,223,32.2754,79
648,Long Island,51.6258,235,20.8657,182,34.4433,217,33.4356,100
649,Longwood,52.5755,273,21.6993,136,34.4319,216,36.0568,157
811,Louisiana Lafayette,50.4819,187,18.8744,282,35.4156,259,40.1205,242
812,Louisiana Monroe,51.7704,242,19.8463,240,36,282,27.2416,12
655,Louisiana St.,45.7182,27,18.8339,283,30.3279,47,27.9006,18
650,Louisiana Tech,51.0191,212,21.6496,138,30.8673,60,43.8217,289
651,Louisville,45.5342,23,22.4658,86,33.8349,185,45.5341,302
654,Loyola Chicago,47.4133,66,18.3614,309,34.0304,193,28.3951,25
652,Loyola Marymount,53.6122,296,23.3702,47,29.1188,20,37.2624,185
653,Loyola MD,46.7098,43,19.2772,266,36.0166,283,45.1234,299
657,Maine,49.5495,143,19.9403,232,34.961,243,35.1351,135
658,Manhattan,49.8394,154,22.0772,112,32.453,116,49.0687,322
659,Marist,49.3697,134,19.3735,264,29.1023,18,34.979,128
660,Marquette,47.1827,58,24.2915,26,35.039,244,39.8975,236
661,Marshall,47.782,81,19.7744,243,35.2561,256,37.8423,195
662,Maryland,43.7175,6,22.6521,78,35.9269,277,30.2315,49
665,Maryland Eastern Shore,52.8666,283,22.8439,67,41.0786,333,40.5552,250
663,Massachusetts,45.5837,24,19.9677,230,32.1729,102,38.5331,208
664,McNeese St.,48.1215,92,22.1312,108,33.0638,150,45.6481,304
813,MD Baltimore County,50.8605,207,20.1396,217,35.8289,274,33.1285,96
666,Memphis,43.7344,8,23.6472,44,31.8064,86,42.6361,272
667,Mercer,49.3358,132,18.2593,313,35.161,252,26.1955,7
